Index,HW0C,Currency,EUR
Date,TRR % 1-week EUR H, ,
04/08/2017,0.129,,
11/08/2017,-0.613,,
18/08/2017,0.084,,
25/08/2017,0.257,,
01/09/2017,0.318,,
08/09/2017,0.16,,
15/09/2017,0.136,,
22/09/2017,0.168,,
29/09/2017,0.138,,
06/10/2017,0.184,,
13/10/2017,0.077,,
20/10/2017,0.223,,
27/10/2017,-0.09,,
03/11/2017,0.043,,
10/11/2017,-0.697,,
17/11/2017,-0.023,,
24/11/2017,0.273,,
01/12/2017,0.05,,
08/12/2017,0.013,,
15/12/2017,-0.01,,
22/12/2017,0.031,,
29/12/2017,-0.013,,
05/01/2018,0.689,,
12/01/2018,-0.098,,
19/01/2018,-0.084,,
26/01/2018,0.214,,
02/02/2018,-0.616,,
09/02/2018,-1.249,,
16/02/2018,0.553,,
23/02/2018,-0.174,,
02/03/2018,-0.152,,
09/03/2018,0.253,,
16/03/2018,-0.193,,
23/03/2018,-0.425,,
29/03/2018,0.04,,
06/04/2018,0.285,,
13/04/2018,0.498,,
20/04/2018,-0.179,,
27/04/2018,-0.388,,
04/05/2018,-0.266,,
11/05/2018,0.139,,
18/05/2018,-0.305,,
25/05/2018,-0.085,,
01/06/2018,-0.184,,
08/06/2018,0.136,,
15/06/2018,0.259,,
22/06/2018,-0.118,,
29/06/2018,-0.629,,
06/07/2018,0.101,,
13/07/2018,0.437,,
20/07/2018,0.163,,
27/07/2018,0.395,,
03/08/2018,0.12,,
10/08/2018,-0.201,,
17/08/2018,-0.169,,
24/08/2018,0.204,,
31/08/2018,-0.101,,
07/09/2018,-0.128,,
14/09/2018,0.394,,
21/09/2018,0.245,,
28/09/2018,0.099,,
05/10/2018,-0.326,,
12/10/2018,-0.35,,
19/10/2018,-0.153,,
26/10/2018,-0.674,,
02/11/2018,0.191,,
09/11/2018,0.11,,
16/11/2018,-1.235,,
23/11/2018,-0.415,,
30/11/2018,0.158,,
07/12/2018,-0.157,,
14/12/2018,0.157,,
21/12/2018,-1.589,,
28/12/2018,-0.025,,
04/01/2019,0.869,,
11/01/2019,1.557,,
18/01/2019,0.696,,
25/01/2019,0.099,,
01/02/2019,0.681,,
08/02/2019,0.122,,
15/02/2019,0.469,,
22/02/2019,0.323,,
01/03/2019,0.476,,
08/03/2019,-0.445,,
15/03/2019,0.769,,
22/03/2019,0.24,,
29/03/2019,0.189,,
05/04/2019,0.514,,
12/04/2019,0.358,,
18/04/2019,0.07,,
26/04/2019,0.037,,
03/05/2019,0.12,,
10/05/2019,-0.535,,
17/05/2019,-0.113,,
24/05/2019,-0.105,,
31/05/2019,-0.488,,
07/06/2019,0.696,,
14/06/2019,0.398,,
21/06/2019,0.974,,
28/06/2019,0.039,,
05/07/2019,0.36,,
12/07/2019,-0.098,,
19/07/2019,-0.203,,
26/07/2019,0.45,,
02/08/2019,-0.315,,
09/08/2019,-0.312,,
16/08/2019,-0.434,,
23/08/2019,0.628,,
30/08/2019,0.21,,
06/09/2019,0.278,,
13/09/2019,0.192,,
20/09/2019,0.175,,
27/09/2019,-0.34,,
04/10/2019,-0.333,,
11/10/2019,0.214,,
18/10/2019,0.316,,
25/10/2019,0.247,,
01/11/2019,-0.069,,
08/11/2019,0.068,,
15/11/2019,-0.08,,
22/11/2019,-0.18,,
29/11/2019,0.387,,
06/12/2019,0.279,,
13/12/2019,0.631,,
20/12/2019,0.549,,
27/12/2019,0.087,,
03/01/2020,0.23,,
10/01/2020,0.292,,
17/01/2020,0.334,,
24/01/2020,-0.279,,
31/01/2020,-0.35,,
07/02/2020,0.569,,
14/02/2020,0.424,,
21/02/2020,0.091,,
28/02/2020,-2.668,,
06/03/2020,-0.367,,
13/03/2020,-7.434,,
20/03/2020,-11.051,,
27/03/2020,5.283,,
03/04/2020,-0.699,,
09/04/2020,4.336,,
17/04/2020,2.606,,
24/04/2020,-1.668,,
01/05/2020,0.634,,
08/05/2020,0.692,,
15/05/2020,-0.301,,
22/05/2020,2.466,,
29/05/2020,1.57,,
05/06/2020,3.141,,
12/06/2020,-1.127,,
19/06/2020,0.766,,
26/06/2020,-0.842,,
03/07/2020,0.406,,
10/07/2020,0.266,,
17/07/2020,0.863,,
24/07/2020,1.201,,
31/07/2020,0.5,,
07/08/2020,0.632,,
14/08/2020,-0.124,,
21/08/2020,0.042,,
28/08/2020,0.602,,
04/09/2020,0.115,,
11/09/2020,-0.182,,
18/09/2020,0.082,,
25/09/2020,-1.631,,
02/10/2020,0.72,,
09/10/2020,1.147,,
16/10/2020,-0.111,,
23/10/2020,0.193,,
30/10/2020,-0.978,,
06/11/2020,1.841,,
13/11/2020,0.671,,
20/11/2020,0.641,,
27/11/2020,0.677,,
04/12/2020,0.851,,
11/12/2020,0.179,,
18/12/2020,0.361,,
24/12/2020,0.032,,
31/12/2020,0.377,,
08/01/2021,0.185,,
15/01/2021,-0.036,,
22/01/2021,0.121,,
29/01/2021,-0.129,,
05/02/2021,0.732,,
12/02/2021,0.217,,
19/02/2021,0.022,,
26/02/2021,-0.623,,
05/03/2021,-0.18,,
12/03/2021,-0.01,,
19/03/2021,-0.224,,
26/03/2021,0.281,,
01/04/2021,0.364,,
09/04/2021,0.435,,
16/04/2021,0.19,,
23/04/2021,-0.018,,
30/04/2021,0.157,,
07/05/2021,0.244,,
14/05/2021,-0.211,,
21/05/2021,-0.011,,
28/05/2021,0.301,,
04/06/2021,0.26,,
11/06/2021,0.419,,
18/06/2021,-0.105,,
25/06/2021,0.19,,
02/07/2021,0.265,,
09/07/2021,0.066,,
16/07/2021,-0.014,,
23/07/2021,-0.078,,
30/07/2021,-0.194,,
06/08/2021,0.043,,
13/08/2021,0.023,,
20/08/2021,-0.138,,
27/08/2021,0.51,,
03/09/2021,0.217,,
10/09/2021,0.141,,
17/09/2021,-0.014,,
24/09/2021,-0.284,,
01/10/2021,-0.402,,
08/10/2021,-0.646,,
15/10/2021,-0.047,,
22/10/2021,-0.032,,
29/10/2021,-0.024,,
05/11/2021,0.248,,
12/11/2021,-0.152,,
19/11/2021,-0.074,,
26/11/2021,-1.194,,
03/12/2021,0.406,,
10/12/2021,0.624,,
17/12/2021,-0.06,,
23/12/2021,0.224,,
31/12/2021,0.143,,
07/01/2022,-0.734,,
14/01/2022,-0.297,,
21/01/2022,-0.407,,
28/01/2022,-1.102,,
04/02/2022,-0.498,,
11/02/2022,-0.699,,
18/02/2022,-0.437,,
25/02/2022,-0.368,,
04/03/2022,-0.979,,
11/03/2022,-1.565,,
18/03/2022,0.564,,
25/03/2022,-0.245,,
01/04/2022,0.697,,
08/04/2022,-0.871,,
14/04/2022,-0.546,,
22/04/2022,-0.831,,
29/04/2022,-1.102,,
06/05/2022,-1.289,,
13/05/2022,-0.898,,
20/05/2022,-0.596,,
27/05/2022,2.361,,
03/06/2022,-0.304,,
10/06/2022,-1.948,,
17/06/2022,-2.978,,
24/06/2022,0.044,,
01/07/2022,-1.77,,
08/07/2022,0.807,,
15/07/2022,-0.154,,
22/07/2022,2.364,,
29/07/2022,1.576,,
