Index,W1G0,Currency,EUR
Date,TRR % 1-week EUR U, ,
04/08/2017,-0.085,,
11/08/2017,0.176,,
18/08/2017,0.367,,
25/08/2017,-0.957,,
01/09/2017,-0.205,,
08/09/2017,-0.287,,
15/09/2017,-0.365,,
22/09/2017,-0.337,,
29/09/2017,0.832,,
06/10/2017,0.457,,
13/10/2017,-0.419,,
20/10/2017,-0.109,,
27/10/2017,1.365,,
03/11/2017,-0.348,,
10/11/2017,-0.066,,
17/11/2017,-0.73,,
24/11/2017,-0.887,,
01/12/2017,0.231,,
08/12/2017,0.598,,
15/12/2017,0.08,,
22/12/2017,-0.692,,
29/12/2017,-0.952,,
05/01/2018,-0.355,,
12/01/2018,-0.368,,
19/01/2018,-0.344,,
26/01/2018,-0.869,,
02/02/2018,-0.541,,
09/02/2018,1.654,,
16/02/2018,-0.726,,
23/02/2018,0.876,,
02/03/2018,0.095,,
09/03/2018,-0.393,,
16/03/2018,0.472,,
23/03/2018,-0.091,,
29/03/2018,0.029,,
06/04/2018,0.132,,
13/04/2018,-0.541,,
20/04/2018,0.12,,
27/04/2018,0.852,,
04/05/2018,1.163,,
11/05/2018,-0.152,,
18/05/2018,0.947,,
25/05/2018,1.296,,
01/06/2018,-0.094,,
08/06/2018,-0.709,,
15/06/2018,0.739,,
22/06/2018,-0.011,,
29/06/2018,-0.434,,
06/07/2018,-0.483,,
13/07/2018,0.168,,
20/07/2018,-0.196,,
27/07/2018,0.591,,
03/08/2018,0.453,,
10/08/2018,1.304,,
17/08/2018,0.24,,
24/08/2018,-1.76,,
31/08/2018,0.073,,
07/09/2018,0.228,,
14/09/2018,-0.845,,
21/09/2018,-0.771,,
28/09/2018,0.863,,
05/10/2018,0.682,,
12/10/2018,0.094,,
19/10/2018,0.348,,
26/10/2018,1.294,,
02/11/2018,-0.467,,
09/11/2018,0.083,,
16/11/2018,0.001,,
23/11/2018,0.395,,
30/11/2018,0.018,,
07/12/2018,-0.214,,
14/12/2018,0.512,,
21/12/2018,-0.286,,
28/12/2018,0.123,,
04/01/2019,0.878,,
11/01/2019,-0.566,,
18/01/2019,0.557,,
25/01/2019,-0.124,,
01/02/2019,-0.346,,
08/02/2019,0.992,,
15/02/2019,0.266,,
22/02/2019,-0.501,,
01/03/2019,-0.661,,
08/03/2019,1.418,,
15/03/2019,-0.662,,
22/03/2019,0.901,,
29/03/2019,0.246,,
05/04/2019,-0.27,,
12/04/2019,-0.747,,
18/04/2019,0.574,,
26/04/2019,0.8,,
03/05/2019,-0.106,,
10/05/2019,0.006,,
17/05/2019,0.559,,
24/05/2019,-0.16,,
31/05/2019,0.875,,
07/06/2019,-1.165,,
14/06/2019,0.742,,
21/06/2019,-0.418,,
28/06/2019,-0.448,,
05/07/2019,0.938,,
12/07/2019,-0.073,,
19/07/2019,0.368,,
26/07/2019,0.439,,
02/08/2019,0.767,,
09/08/2019,-0.436,,
16/08/2019,0.788,,
23/08/2019,0.087,,
30/08/2019,0.727,,
06/09/2019,-0.386,,
13/09/2019,-0.894,,
20/09/2019,0.761,,
27/09/2019,0.539,,
04/10/2019,0.268,,
11/10/2019,-0.958,,
18/10/2019,-0.689,,
25/10/2019,0.316,,
01/11/2019,-0.402,,
08/11/2019,0.752,,
15/11/2019,-0.034,,
22/11/2019,0.131,,
29/11/2019,-0.082,,
06/12/2019,0.038,,
13/12/2019,-0.71,,
20/12/2019,0.269,,
27/12/2019,-0.539,,
03/01/2020,0.429,,
10/01/2020,0.017,,
17/01/2020,0.033,,
24/01/2020,0.843,,
31/01/2020,-0.049,,
07/02/2020,0.511,,
14/02/2020,1.006,,
21/02/2020,-0.383,,
28/02/2020,0.195,,
06/03/2020,-1.456,,
13/03/2020,1.143,,
20/03/2020,2.144,,
27/03/2020,-1.926,,
03/04/2020,2.052,,
09/04/2020,-1.049,,
17/04/2020,0.66,,
24/04/2020,0.627,,
01/05/2020,-1.43,,
08/05/2020,1.306,,
15/05/2020,0.124,,
22/05/2020,-0.612,,
29/05/2020,-1.84,,
05/06/2020,-1.813,,
12/06/2020,1.032,,
19/06/2020,0.543,,
26/06/2020,-0.226,,
03/07/2020,-0.281,,
10/07/2020,-0.376,,
17/07/2020,-0.902,,
24/07/2020,-1.176,,
31/07/2020,-1.335,,
07/08/2020,0.185,,
14/08/2020,-0.435,,
21/08/2020,0.499,,
28/08/2020,-0.617,,
04/09/2020,0.456,,
11/09/2020,-0.31,,
18/09/2020,0.251,,
25/09/2020,1.398,,
02/10/2020,-0.573,,
09/10/2020,-0.791,,
16/10/2020,0.746,,
23/10/2020,-0.714,,
30/10/2020,1.428,,
06/11/2020,-1.263,,
13/11/2020,0.05,,
20/11/2020,0.022,,
27/11/2020,-0.69,,
04/12/2020,-1.402,,
11/12/2020,0.311,,
18/12/2020,-0.721,,
24/12/2020,0.302,,
31/12/2020,-0.201,,
08/01/2021,-0.314,,
15/01/2021,1.171,,
22/01/2021,-0.519,,
29/01/2021,-0.03,,
05/02/2021,0.743,,
12/02/2021,-0.521,,
19/02/2021,-0.155,,
26/02/2021,-0.388,,
05/03/2021,1.286,,
12/03/2021,-0.299,,
19/03/2021,0.244,,
26/03/2021,0.675,,
01/04/2021,0.037,,
09/04/2021,-0.762,,
16/04/2021,-0.46,,
23/04/2021,-0.351,,
30/04/2021,-0.139,,
07/05/2021,-0.491,,
14/05/2021,-0.112,,
21/05/2021,-0.277,,
28/05/2021,-0.135,,
04/06/2021,0.222,,
11/06/2021,0.312,,
18/06/2021,1.467,,
25/06/2021,-0.728,,
02/07/2021,0.672,,
09/07/2021,0.083,,
16/07/2021,0.373,,
23/07/2021,0.304,,
30/07/2021,-0.467,,
06/08/2021,0.557,,
13/08/2021,-0.159,,
20/08/2021,0.696,,
27/08/2021,-0.708,,
03/09/2021,-0.567,,
10/09/2021,0.258,,
17/09/2021,0.617,,
24/09/2021,-0.033,,
01/10/2021,0.861,,
08/10/2021,-0.04,,
15/10/2021,-0.635,,
22/10/2021,-0.323,,
29/10/2021,0.446,,
05/11/2021,0.336,,
12/11/2021,0.552,,
19/11/2021,1.057,,
26/11/2021,0.09,,
03/12/2021,0.146,,
10/12/2021,-0.284,,
17/12/2021,0.214,,
23/12/2021,-0.432,,
31/12/2021,-0.551,,
07/01/2022,-0.108,,
14/01/2022,-0.363,,
21/01/2022,0.649,,
28/01/2022,0.889,,
04/02/2022,-2.406,,
11/02/2022,0.04,,
18/02/2022,0.694,,
25/02/2022,0.568,,
04/03/2022,3.001,,
11/03/2022,-1.16,,
18/03/2022,-1.227,,
25/03/2022,-0.34,,
01/04/2022,-0.677,,
08/04/2022,0.943,,
14/04/2022,0.681,,
22/04/2022,-0.793,,
29/04/2022,1.721,,
06/05/2022,-0.506,,
13/05/2022,1.932,,
20/05/2022,-1.03,,
27/05/2022,-0.908,,
03/06/2022,-0.887,,
10/06/2022,0.506,,
17/06/2022,0.135,,
24/06/2022,-0.382,,
01/07/2022,1.575,,
08/07/2022,1.508,,
15/07/2022,0.46,,
22/07/2022,-0.63,,
29/07/2022,0.901,,
